ac_key,chassis_id,requested_date,machine_salesmodel,fault_code,description,state,correction,cause,cause_local_language,complaint,complaint_local_language,machine_hours
AC0523938,L120H0428,2023-11-03T06:08:05Z,L120H,P103411,General Purpose Machine Electronic Control Unit 2 - Boom Angle Channel 1: Circuit short to ground,Closed,Other,,,"DTC DESCRIPTION(S): Error Alarm descriptionP103411 - General Purpose Machine Electronic Control Unit 2 - Boom Angle Channel 1: Circuit short to ground Prosis linkFault active for more than 2 daysSOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L120H014285
P100B11
Transmission Oil Pressure Sensor Circuit: Circuit short to ground
39


L120H014285
P103411
Boom ","DTC DESCRIPCIÓN(ES): Descripción de la alarma de errorP103411 - Unidad de control electrónico de la máquina de uso general 2 - Ángulo de la pluma Canal 1: Cortocircuito a tierraEnlace de prosisAvería activa durante más de 2 díasSOFTWARE: Nuevo software disponible, actualice a la última versiónINFORMACIÓN ADICIONAL : Otros errores de TC



ID del chasis*
Formato de falla 1
Tipo de error/alarma
Nº de errores


L120H014285
P100B11
Circuito del sensor de presión de aceite de la transmisi",11428
AC0560585,C220E3140,2023-12-29T09:20:41Z,EC220E,B152A64,Climate Control Module - Air Conditioning System: Signal plausibility failure,Closed,Client does not require assistance.,,,"DTC DESCRIPTION(S): Error Alarm descriptionB152A64 - Climate Control Module - Air Conditioning System: Signal plausibility failure Prosis linkFault active for more than 2 daysHint:14645946 (CONDENSER) 14649606 (COMPRESSOR)SOFTWARE: New software available, please update to latest version","DTC DESCRIPCIÓN(ES): Descripción de la alarma de errorB152A64 - Módulo de control de clima - Sistema de aire acondicionado: Falla de plausibilidad de la señalEnlace de prosisAvería activa durante más de 2 díasSugerencia:14645946 (CONDENSADOR) 14649606 (COMPRESOR)SOFTWARE: Nuevo software disponible, actualice a la última versión",12277
AC0105044,L90H0172,1900-01-01T00:00:00Z,L90H,C10287B,Central Lubrication Lubricant Level Low: Low fluid level,Closed,customer filled sytem,,,DTC DESCRIPTION(S): Error Alarm descriptionC10287B - Central Lubrication Lubricant Level Low: Low fluid level-,DTC DESCRIPTION(S): Error Alarm descriptionC10287B - Central Lubrication Lubricant Level Low: Low fluid level-,0
AC0273043,L150H0701,1900-01-01T00:00:00Z,L150H,P20E997,Reductant Pressure too High: Component or system operation obstructed or blocked,Closed," Arrived at machine. Hooked up to machine and pulled codes.
 Codes showed inactive but ran a bit and went active. Looked
 up codes in Prosis and began checking possible causes.
 Found that DEF line clogged which caused pressure to go to
 high. Removed and replaced DEF feed line from pump to
 dosing valve injector due to following test to check if
 clog was removed. Tech tool operation 25847-3 SCR system
 drain. Pressure reading properly now. Performed service
 regen. Cleared all codes. R",,,DTC DESCRIPTION(S): Error Alarm descriptionP20E997 - Reductant Pressure too High: Component or system operation obstructed or blocked-,DTC DESCRIPTION(S): Error Alarm descriptionP20E997 - Reductant Pressure too High: Component or system operation obstructed or blocked-,1104
AC0119516,C160E3413,1900-01-01T00:00:00Z,EC160E,P203A23,"Reductant Level Sensor """"A"""": Signal stuck low",Closed,customer states they know of no issues  reported to them from operator,,,"DTC DESCRIPTION(S): Error Alarm descriptionP203A23 - Reductant Level Sensor """"A"""": Signal stuck low-","DTC DESCRIPTION(S): Error Alarm descriptionP203A23 - Reductant Level Sensor """"A"""": Signal stuck low-",400
AC0434074,L150H0839,2023-06-14T08:18:17Z,L150H,P100064,General Purpose Machine Electronic Control Unit 3 - Transmission Lock-Up Pressure Sensor Circuit: Signal plausibility failure,Closed,No repetition,,,"DTC DESCRIPTION(S): Error Alarm descriptionP100064 - General Purpose Machine Electronic Control Unit 3 - Transmission Lock-Up Pressure Sensor Circuit: Signal plausibility failure Prosis linkSOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L150H018397
P101400
Unknown: Unknown
1


POSSIBLE OPERATOR BEHAVIOR IMPROVEMENTS: Action recommended – From Matris differen","DESCRIPTION(S) DTC : Description de l’alarme d’erreurP100064 - General Purpose Machine Electronic Control Unit 3 - Circuit de capteur de pression de verrouillage de transmission: défaillance de plausibilité du signalLien ProsisLOGICIEL: Nouveau logiciel disponible, veuillez mettre à jour vers la dernière versionINFORMATIONS COMPLEMENTAIRES : Autres erreurs CT



ID du châssis*
Format d’erreur 1
Type d’erreur/alarme
Nombre d’erreurs


L150H018397
P101400
Inconnu : Inconnu
1


AMÉL",4892
AC0111657,EC2102040,1900-01-01T00:00:00Z,EC210D,MID142PSID4FMI5,MID142 PSID4 FMI5 - W-ECU - GPS module/interface: Current below normal or open circuit,Closed,We have an involvement in our part's sales and communicate to customer to have their unit to be checked by them or by dealer but they still don't accept.,,,DTC DESCRIPTION(S): Error Alarm descriptionMID142 PSID4 FMI5 - MID142 PSID4 FMI5 - W-ECU - GPS module/interface: Current below normal or open circuit Prosis linkFault active for more than 2 days,DTC DESKRIPSIYON (S): Maling paglalarawan ng AlarmaMID142 PSID4 FMI5 - MID142 PSID4 FMI5 - W-ECU - GPS module/interface: Kasalukuyang sa ibaba ng normal o bukas na circuit  Prosis linkMaling aktibo para sa higit sa 2 araw,9644
AC0454986,A35E0193,1900-01-01T00:00:00Z,A35E,MID128SID70FMI4,MID128 SID70 FMI4 - Engine ECU - Air inlet heater driver #1: Voltage below normal or shorted to lower voltage,Closed,Next service ,,,DTC DESCRIPTION(S): Error Alarm descriptionMID128 SID70 FMI4 - MID128 SID70 FMI4 - Engine ECU - Air inlet heater driver #1: Voltage below normal or shorted to lower voltage Prosis link,DESKRIPSI DTC: Deskripsi Alarm KesalahanMID128 SID70 FMI4 - MID128 SID70 FMI4 - ECU Mesin - Driver pemanas saluran masuk udara #1: Tegangan di bawah normal atau korsleting ke tegangan yang lebih rendahTautan prosis,58968
AC0855001,A25G7512,1900-01-01T00:00:00Z,A25G,MID249PPID1174FMI3,"Brake cooling, oil temp Axle2.1: Voltage above normal or shorted to higher voltage",Closed,CUSTOMER HAS BEEN ALERTED. TYPICALLY HAS THEIR TECHS WORK ON MACHINES. WILL CALL IF NEEDED.,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID249 PPID1174 FMI3 - Brake cooling, oil temp Axle2.1: Voltage above normal or shorted to higher voltage-","DTC DESCRIPTION(S): Error Alarm descriptionMID249 PPID1174 FMI3 - Brake cooling, oil temp Axle2.1: Voltage above normal or shorted to higher voltage-",4406
AC0044187,C350E3047,1900-01-01T00:00:00Z,EC350E,P206A11,Reductant Quality: Circuit short to ground,Closed,"Vces technician troubleshot machine and found faulty def tank armature, tech removed and replaced.",,,DTC DESCRIPTION(S): Error Alarm descriptionP206A11 - Reductant Quality: Circuit short to ground-,DTC DESCRIPTION(S): Error Alarm descriptionP206A11 - Reductant Quality: Circuit short to ground-,0
AC0107021,A35F0528,1900-01-01T00:00:00Z,A35F,MID128PID131FMI5,MID128 PID131 FMI5 - Engine ECU - Exhaust Back Pressure: Current below normal or open circuit,Closed,Customer no reply,,,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID131 FMI5 - MID128 PID131 FMI5 - Engine ECU - Exhaust Back Pressure: Current below normal or open circuit Prosis linkFault active for more than 2 days,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID131 FMI5 - MID128 PID131 FMI5 - Engine ECU - Exhaust Back Pressure: Current below normal or open circuit Prosis linkFault active for more than 2 days,25705
AC0547858,L150H0430,2023-12-08T14:30:26Z,L150H,C102701,General Purpose Machine Electronic Control Unit 1 - Central Lubrication Electrical Error: General Electrical Failure,Closed,The customer doesn't have the spare parts necessary to repair the issue,,,"DTC DESCRIPTION(S): Error Alarm descriptionC102701 - General Purpose Machine Electronic Control Unit 1 - Central Lubrication Electrical Error: General Electrical Failure Prosis linkFault active for more than 2 daysSOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L150H014306
C101900
Brake Accumulator Pressure Low: No additional information
4


L150H014306
C102","DESCRIPTION(S) DTC : Description de l’alarme d’erreurC102701 - Unité de commande électronique de machine à usage général 1 - Erreur électrique de lubrification centralisée : Défaillance électrique généraleLien ProsisDéfaut actif pendant plus de 2 joursLOGICIEL : Nouveau logiciel disponible, veuillez mettre à jour vers la dernière versionINFORMATIONS COMPLÉMENTAIRES : Autres erreurs CT



N° d’identification du châssis*
Format d’erreur 1
Type d’erreur/d’alarme
Nombre d’erreurs


L150H01",15632
AC0507039,L120H0428,2023-10-09T13:24:56Z,L120H,P100B11,General Purpose Machine Electronic Control Unit 3 - Transmission Oil Pressure Sensor Circuit: Circuit short to ground,Closed,Other,,,"DTC DESCRIPTION(S): Error Alarm descriptionP100B11 - General Purpose Machine Electronic Control Unit 3 - Transmission Oil Pressure Sensor Circuit: Circuit short to ground Prosis linkFault active for more than 2 daysHint:17202563 (PRESSURE SENSOR)SOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


L120H014285
C101900
Brake Accumulator Pressure Low: Unknown
1


L12","DTC DESCRIPCIÓN(ES): Descripción de la alarma de errorP100B11 - Unidad de control electrónico de la máquina de uso general 3 - Circuito del sensor de presión de aceite de la transmisión: Cortocircuito a tierraEnlace de prosisAvería activa durante más de 2 díasSugerencia:17202563 (SENSOR DE PRESIÓN)SOFTWARE: Nuevo software disponible, actualice a la última versiónINFORMACIÓN ADICIONAL : Otros errores de TC



ID del chasis*
Formato de falla 1
Tipo de error/alarma
Nº de errores


L120H01",11356
AC0535124,A30G7591,1900-01-01T00:00:00Z,A30G,MID128PID94FMI7,Fuel Delivery Pressure: Mechanical system not responding properly,Closed,NO ISSUES REPORTED,,,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID94 FMI7 - Fuel Delivery Pressure: Mechanical system not responding properly-,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID94 FMI7 - Fuel Delivery Pressure: Mechanical system not responding properly-,1860
AC0262768,L110F0092,1900-01-01T00:00:00Z,L110F,MID187PID127FMI14,Transmission oil pressure: Special instructions,Closed,"Foi realizado tentativa de contato com o cliente, porém sem sucesso.",,,DTC DESCRIPTION(S): Error Alarm descriptionMID187 PID127 FMI14 - Transmission oil pressure: Special instructions-,DTC DESCRIPTION(S): Error Alarm descriptionMID187 PID127 FMI14 - Transmission oil pressure: Special instructions-,20906
AC0268713,L120H6205,1900-01-01T00:00:00Z,L120H,P228F00,Fuel Pressure Regulator 1 Exceeded Learning Limits - Too High,Closed,customer aware to contact if assistance needed,,,DTC DESCRIPTION(S): Error Alarm descriptionP228F00 - Fuel Pressure Regulator 1 Exceeded Learning Limits - Too High-,DTC DESCRIPTION(S): Error Alarm descriptionP228F00 - Fuel Pressure Regulator 1 Exceeded Learning Limits - Too High-,14931
AC0022908,C480E3052,1900-01-01T00:00:00Z,EC480E,P20A673,Reductant Injection Air Pressure Control Valve Control: Actuator stuck closed,Closed," hookup to unit via TT2- unit has several issues. P208A86 reductant pump signal invalid active, full derate active as well as low system voltage with key on, engine not running. Remove covers on batteries and verified low voltage - 10.2 vdc on each battery. Started unit and found that alternator is putting out 28vdc @ 36.5 amps. Wet spots on battery caps / check electrolyte level - tested capacity w/ batt. tester (each rated at 1400 cca); batt 1: 530CCA , batt 2: 416CCA. Could not shut unit down",,,DTC DESCRIPTION(S): Error Alarm descriptionP20A673 - Reductant Injection Air Pressure Control Valve Control: Actuator stuck closed-,DTC DESCRIPTION(S): Error Alarm descriptionP20A673 - Reductant Injection Air Pressure Control Valve Control: Actuator stuck closed-,6997
AC0721504,L70H6296,1900-01-01T00:00:00Z,L70H,P100312,Front Axle Oil Temperature Sensor Circuit: Circuit short to battery,Closed,CUSTOMER HAS BEEN ALERTED. TYPICALLY HAS THEIR TECHS WORK ON MACHINES. WILL CALL IF NEEDED.,,,DTC DESCRIPTION(S): Error Alarm descriptionP100312 - Front Axle Oil Temperature Sensor Circuit: Circuit short to battery-,DTC DESCRIPTION(S): Error Alarm descriptionP100312 - Front Axle Oil Temperature Sensor Circuit: Circuit short to battery-,7332
AC0075911,L70H6243,1900-01-01T00:00:00Z,L70H,P2BAF68,NOx System Driver Inducement Active: Event information,Closed,It was diagnosed that the Armature had failed. Flushed tank and replaced unit.,,,DTC DESCRIPTION(S): Error Alarm descriptionP2BAF68 - NOx System Driver Inducement Active: Event information-,DTC DESCRIPTION(S): Error Alarm descriptionP2BAF68 - NOx System Driver Inducement Active: Event information-,3827
AC0835069,A60H3261,2024-10-30T19:05:12Z,A60H,MID128PID131FMI5,Engine ECU - Exhaust Back Pressure: Current below normal or open circuit,Closed,there was a problem with the cable. The mechanic has repaired it on 3rd Nov 2024.,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID131 FMI5 - Engine ECU - Exhaust Back Pressure: Current below normal or open circuit Prosis linkFault active for more than 2 daysSOFTWARE: New software available, please update to latest versionCAMPAIGN STATUS: Campaign(s) available - Please conduct available campaign(s)


Chassis ID
SCC Code
SCC Type Description
Campaign Id
Campaign Title
Campaign Start Date
Last Repair Date


A60H320610
RA001
Recommended
247245
Engine exhaust ","DESKRIPSI DTC: Deskripsi Alarm KesalahanMID128 PID131 FMI5 - ECU Mesin - Tekanan Balik Knalpot: Arus di bawah sirkuit normal atau terbukaTautan prosisKesalahan aktif selama lebih dari 2 hariPERANGKAT LUNAK: Perangkat lunak baru tersedia, harap perbarui ke versi terbaruSTATUS KAMPANYE: Kampanye tersedia - Silakan lakukan kampanye yang tersedia


ID sasis
Kode SCC
Deskripsi Jenis SCC
Id Kampanye
Judul Kampanye
Tanggal Mulai Kampanye
Tanggal Perbaikan Terakhir


A60H320610
RA001
Direk",7619
AC0777526,A25G7444,1900-01-01T00:00:00Z,A25G,MID249PPID1172FMI4,"Brake cooling, oil temp Axle1.1: Voltage below normal or shorted to lower voltage",Closed,CUSTOMER HAS BEEN ALERTED. TYPICALLY HAS THEIR TECHS WORK ON MACHINES. WILL CALL IF NEEDED.,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID249 PPID1172 FMI4 - Brake cooling, oil temp Axle1.1: Voltage below normal or shorted to lower voltage-","DTC DESCRIPTION(S): Error Alarm descriptionMID249 PPID1172 FMI4 - Brake cooling, oil temp Axle1.1: Voltage below normal or shorted to lower voltage-",4331
AC0748366,D30B2732,1900-01-01T00:00:00Z,DD30B,,Scheduled Service reminder,Closed,"Let customer know unit is due for service 

Will get it cpmpleted",,,SCHEDULED SERVICE REMINDER: Plant maintenance due,SCHEDULED SERVICE REMINDER: Plant maintenance due,957
AC0468241,L120H0602,1900-01-01T00:00:00Z,L120H,P103600,General Purpose Machine Electronic Control Unit 2 - Boom Angle Signal Sum Error,Closed,"The customer denied service because out of warranty. 

However, customer  already ordered parts for reparing but they did not provide correct service dates due to the working environment. 

Since it is scheduled to be repaired, first of all, We request blocking of the fault code by the end of September.

We confirmed by both the customer and local service. ",,,DTC DESCRIPTION(S): Error Alarm descriptionP103600 - General Purpose Machine Electronic Control Unit 2 - Boom Angle Signal Sum Error Prosis linkFault active for more than 2 days,DTC 설명: 오류 경보 설명P103600 - 범용 장비 전자 제어 장치 2 - 붐 각도 신호 합계 오류Prosis 링크2일 이상 활성 상태,17282
AC0090407,A40G3500,1900-01-01T00:00:00Z,A40G,PACD4GUpdate,W-ECU Hardware Outdated,Closed,update hrm81 done 6/10/21,,,"ADDITIONAL INFORMATION : InformationThis machine has been identified to have outdated (2G/3G) W-ECU hardware
Please contact the customer and ensure they wish to proceed with the 4G Product Update
Please perform 4G Product UpdateDetailed work instructions to perform the 4G Product Update are included as Service Bulletins for each model on the VDN
 
Important Machine Connectivity Information!
 
As previously announced - In February 2022 ATT (GSM/Cellular provider) will discontinue (sunset) 3","ADDITIONAL INFORMATION : InformationThis machine has been identified to have outdated (2G/3G) W-ECU hardware
Please contact the customer and ensure they wish to proceed with the 4G Product Update
Please perform 4G Product UpdateDetailed work instructions to perform the 4G Product Update are included as Service Bulletins for each model on the VDN
 
Important Machine Connectivity Information!
 
As previously announced - In February 2022 ATT (GSM/Cellular provider) will discontinue (sunset) 3",0
AC0143879,L220H0260,1900-01-01T00:00:00Z,L220H,C102701,Central Lubrication Electrical Error: General Electrical Failure,Closed,Customer contacted awaiting response,,,DTC DESCRIPTION(S): Error Alarm descriptionC102701 - Central Lubrication Electrical Error: General Electrical Failure-,DTC DESCRIPTION(S): Error Alarm descriptionC102701 - Central Lubrication Electrical Error: General Electrical Failure-,0
AC0560698,A45G3231,2023-12-29T13:53:55Z,A45G,MID142PSID4FMI5,W-ECU - GPS module/interface: Current below normal or open circuit,Closed,next pm service,,,"DTC DESCRIPTION(S): Error Alarm descriptionMID142 PSID4 FMI5 - W-ECU - GPS module/interface: Current below normal or open circuit Prosis linkFault active for more than 2 daysSOFTWARE: New software available, please update to latest versionADDITIONAL INFORMATION : Other CT errors



Chassis Id*
Fault Format 1
Type of Error/Alarm
No of Errors


A45G322317
MID146PID5PIDTYPE1FMI11
AC-system: Unidentifiable error
1


A45G322317
MID187PID1181PIDTYPE0FMI4
Ground dependent Steering pre","DESCRIPTION(S) DTC : Description de l’alarme d’erreurMID142 PSID4 FMI5 - W-ECU - Module/interface GPS : Courant inférieur à la normale ou en circuit ouvertLien ProsisDéfaut actif pendant plus de 2 joursLOGICIEL : Nouveau logiciel disponible, veuillez mettre à jour vers la dernière versionINFORMATIONS COMPLÉMENTAIRES : Autres erreurs CT



N° d’identification du châssis*
Format d’erreur 1
Type d’erreur/d’alarme
Nombre d’erreurs


A45G322317
MID146PID5PIDTYPE1FMI11
Système AC : Erreur ",32292
AC0477473,C300E3255,2023-08-28T14:49:40Z,EC300E,P250A13,Engine ECU - Engine Oil Level Sensor: Circuit open,Closed,I have no answer,,,DTC DESCRIPTION(S): Error Alarm descriptionP250A13 - Engine ECU - Engine Oil Level Sensor: Circuit open Prosis linkFault active for more than 2 daysHint:22383378 (LEVEL SENSOR),DESCRIPCIÓN DE DTC: Descripción de alarma de errorP250A13 - ECU del motor - Sensor de nivel de aceite del motor: Circuito abiertoEnlace ProsisFallo activo durante más de 2 díasSugerencia:22383378 (SENSOR DE NIVEL),4655
AC0170513,L70H6231,1900-01-01T00:00:00Z,L70H,P20EE84,SCR NOx Catalyst Efficiency Below Threshold (Bank 1): Signal below allowable range,Closed,Vces technician removed and replaced def tank armature,,,DTC DESCRIPTION(S): Error Alarm descriptionP20EE84 - SCR NOx Catalyst Efficiency Below Threshold (Bank 1): Signal below allowable range-,DTC DESCRIPTION(S): Error Alarm descriptionP20EE84 - SCR NOx Catalyst Efficiency Below Threshold (Bank 1): Signal below allowable range-,4226
AC0142168,A60H3410,1900-01-01T00:00:00Z,A60H,MID128PID97FMI0,Water in fuel indicator: Data valid but above normal operational range,Closed,tech dispatched for diagnosis/repair.,,,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID97 FMI0 - Water in fuel indicator: Data valid but above normal operational range-,DTC DESCRIPTION(S): Error Alarm descriptionMID128 PID97 FMI0 - Water in fuel indicator: Data valid but above normal operational range-,8265
