case_ts_number,requested_date,machine_salesmodel,machine_hours,part_number,part_description,complaint,description,complaint_local_language,test_performed,test_performed_local_language,site_conditions,correction,correction_local_language,cause,cause_local_language,additional_machine_attachments,state,causing_part_name,function_group,defect_code_id,defect_code_description,defect_code_definition,application_short_description,fault_codes
TS3116618,2020-11-16T10:23:23Z,L70H,2120,23164449,RAIL,Fuel system failure error P000F00 active now and then.,P019001 Fuel Rail Pressure Sensor Bank 1 - General Electrical Failure,null,"Techtool read out showed P000F00 44x and P019001 5x. We soldered the splice points S300, S299, S429 and S430 first, but after that the error code P000F00 came back and error code P019001 disappeared. We checked the low pressure side for air leakage but no problems found. We checked the High pressure pumps with the techtool test and measured for temperature difference but no fault found in the high pressure pumps. We decided to change the complete rail because we replaced the PRV valve already before. The replacement of the complete rail solved the problem finally.",null,null,"Thank you for the information.

We replaced the fuel rail.",null,PRV seat leakage?,null,null,Closed,VOE23164449,237 Injector; delivery pipe,c9362df9db964b004dd1f3361d961964,Internal leakage,Code is applicable to internal leakage and/or with abnormal fluid levels (Transfer of oil/water/fuel,Recycling - General waste and scrap handling,"[""P019001""]"
TS3116618,2020-11-16T10:23:23Z,L70H,2120,23164449,RAIL,Fuel system failure error P000F00 active now and then.,P000F00 Fuel System Over Pressure Relief Valve Activated - No Sub Type Information,null,"Techtool read out showed P000F00 44x and P019001 5x. We soldered the splice points S300, S299, S429 and S430 first, but after that the error code P000F00 came back and error code P019001 disappeared. We checked the low pressure side for air leakage but no problems found. We checked the High pressure pumps with the techtool test and measured for temperature difference but no fault found in the high pressure pumps. We decided to change the complete rail because we replaced the PRV valve already before. The replacement of the complete rail solved the problem finally.",null,null,"Thank you for the information.

We replaced the fuel rail.",null,PRV seat leakage?,null,null,Closed,VOE23164449,237 Injector; delivery pipe,c9362df9db964b004dd1f3361d961964,Internal leakage,Code is applicable to internal leakage and/or with abnormal fluid levels (Transfer of oil/water/fuel,Recycling - General waste and scrap handling,"[""P000F00""]"
TS3080700,2020-03-03T19:42:32Z,L120H,1011,21403962,SENSOR,"Customer  complains frequent regeneration required, Unit drops out of parked regen with P245217 error, service regen performed; unit returned to service.","Hello Mike, I need help as I cannot identify reason behind codes; P245217 and P245222.",null,"Performed guided diagnostics, swapped SE2519 from another unit, compared engine reference values to stall values. SE2519 desc and meas. ",null,Waste mgmt yard operation,null,null,null,null,Hi tip bucket,Dealer Action Required,VOE21403962,254 Catalytic converter; exhaust emission control equipment,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P245217"",""P245222""]"
TS3080700,2020-03-03T19:42:32Z,L120H,1011,21403962,SENSOR,"Customer  complains frequent regeneration required, Unit drops out of parked regen with P245217 error, service regen performed; unit returned to service.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"Performed guided diagnostics, swapped SE2519 from another unit, compared engine reference values to stall values. SE2519 desc and meas. ",null,Waste mgmt yard operation,null,null,null,null,Hi tip bucket,Dealer Action Required,VOE21403962,254 Catalytic converter; exhaust emission control equipment,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P245217""]"
TS3259029,2023-03-24T09:39:00Z,L150H,10482,15127941,PUMP UNIT,"On this machine the central luberication pump  ,was out of order ,regarding water was entered the housing",C102701 Central Lubrication Electrical Error - General Electrical Failure,null,"
We got the following information from our branch in Anröchte :
This pump unit was replaced in Nov. 2022 .
The circut board was damaged by Watter drops .
See documentation .
Pump unit replaced.
BR
Kai
",null,Quarry,Pump unit replaced ,null,Water trapped into the main housing and damaged the circut board,null,null,Closed,VOE15127941,993 Automatic lubricating system,89c04c8687ee4110eb664116cebb359e,FG9: Other,Only to be used if none of the available def codes matches,"Aggregates, Sand, Gravel","[""C102701""]"
TS3075281,2020-01-23T15:06:02Z,L90H,1280,20973777,SERVICE KIT,"Customer IAA complains unexpected shut down durning operation, error P019011 Injection system failure.",U100600 U100400 U100100 U100500 U100700 U100800 U100900 U100C00 U100000,null,"P2309 Desc. and Measuring; Pin2-grd=5vdc., Pin1,2,3-grd=OFL, EA11-1=0.1ohms, EA19-2=0.2ohms, EA7-3=0.3ohms.  Inspect harness reference KB0123794 P019011. BB1; EB51-55(T1)=61.2ohms, EB51-55(T2)=119.5ohms. BB2; EB22-21(T1)=60.8ohms, EB22-EB21(T2)=117.9ohms. 20973777 Injector fuel rail pressure sensor replace 11/26/19. Found multiple Can Bus error codes inactive in machine history.",null,Concrete/uneven surfaces/gravel,Thanks for the update.,null,Intermittant harness issue.,null,Vehicle forks,Closed,VOE20973777,286 Engine wires and mounting parts,c1362df9db964b004dd1f3361d961965,Faulty wiring / Cable problem / Cable Terminals,Faulty wiring / Break in wiring / Open circuit in wire / Earth fault,"Pallet fork operation, Material handling arm operation","[""U100600"",""U100400"",""U100100"",""U100500"",""U100700"",""U100800"",""U100900"",""U100C00"",""U100000""]"
TS3251832,2023-03-01T08:21:20Z,A45G,4975,22328010,VENTURI,Engine has low power ,"P04009B Exhaust Gas Recirculation """"A"""" Flow - High/Excessive Flow",null,"Fault codes
Venturi cleaned",null,null,"Hello Mika
Thanks for the information
BR Johan",null,Clogged venturi tube,null,null,Closed,VOE22328010,293 EGR (Exhaust Gas Recirculation),05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Blasted rocks, Hard rock quarry, Limestone quarry","[""P04009B""]"
TS3177857,2022-01-19T09:15:51Z,L180H,1419,17201756,HYDRAULIC PUMP,"Low brake performance.
",C101900 Brake Accumulator Pressure Low - No Sub Type Information,null,"test 91310-3 Hydraulic pump P3.
Pressure not rising when activating  Max. displacement test.

",null,null,null,null,P3 pump replaced.,null,null,Initiated,VOE17201756,"913 Pump, working hydraulics",c5362df9db964b004dd1f3361d961967,Seized / Squeezed / Jammed,"Alternators, Air condition compressors, Starter motors, plungers in valves etc."""" (Possible batch rel","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""C101900""]"
TS3177857,2022-01-19T09:15:51Z,L180H,1419,17201756,HYDRAULIC PUMP,"Low brake performance.
",C101C00 Brake Pressure Leakage - No Sub Type Information,null,"test 91310-3 Hydraulic pump P3.
Pressure not rising when activating  Max. displacement test.

",null,null,null,null,P3 pump replaced.,null,null,Initiated,VOE17201756,"913 Pump, working hydraulics",c5362df9db964b004dd1f3361d961967,Seized / Squeezed / Jammed,"Alternators, Air condition compressors, Starter motors, plungers in valves etc."""" (Possible batch rel","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""C101C00""]"
TS3259897,2023-03-28T10:03:18Z,L90H,346,23591152,PRESSURE SENSOR,Error P2BAF68 and machine asking for a parked regeneration daily.,P2BAF68 NOx System Driver Inducement Active - Event Information,null,"First time we visited the machine at 3-02-2023 at 98 running hours and at that time Techtool showed that the error code P2BAF68 was present 3x.
Sensor values showed that SE2544 showed a value of 3.7 kPa at key on. We checked the wiring harness and couldn't detect anything wrong.
We replaced the sensor SE2544 reset quality and tampering timers and the machine worked fine.

At 17-02-2023 at 174 running hours the same problem popped up again. This time code P2BAF68 has appeared 2x and this time the sensor SE2544 showed exactly 3.7 kPa at key on.
We checked the wiring again and pin connection again but couldn't find anything wrong. We replaced the sensor SE2544 again and did a reset on the quality and tampering timers.

At 27-3-2023 at 346 running hours the same problem happened again.
This the sensor showed a value of 1.7 kPa at key on. No sensor available at that moment.
So, we only pulled the wiring and contact sprayed the connector and squeezed the pins a little bit.

Machin",null,null,"It is not a common problem.If it happens again check other sensor values with engine off and key on.I was recommended to check SE2511 value with engine off to secure there are no problem at the engine harness, S299 and S300.",null,SE2544 again faulty.,null,null,Closed,VOE23591152,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3517,FG3: Faulty sensor / Sensor problem,Open circuit; Intermittent; Earth fault; Faulty or break in wiring;,Processing low density bulk-material,"[""P2BAF68""]"
TS3029112,2019-02-19T15:37:07Z,L90H,774,17483620,null,Error codes P206A96 and U008088 active and engine derates.,P206A96 Reductant Quality - Component Internal Failure,null,Measured resistance and found 48 Ohm should be 120 Ohm. We replaced the Adblue tank unit.,null,null,null,null,Adblue tank unit quality is not as it should be.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A96""]"
TS3029112,2019-02-19T15:37:07Z,L90H,774,17483620,null,Error codes P206A96 and U008088 active and engine derates.,U008088 Vehicle Communication Engine Subnet - Bus off,null,Measured resistance and found 48 Ohm should be 120 Ohm. We replaced the Adblue tank unit.,null,null,null,null,Adblue tank unit quality is not as it should be.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U008088""]"
TS3271942,2023-05-08T13:13:28Z,L110H,2396,16933334,PUMP,Error central lubrication U102C288.,U102C88 Central Lubrication CAN Communication - Bus off,null,"Manual test on the central lubrication acticated but pump didn't run. We connected gina  software to read out the pump but couldn't get access to the pump. We checked the wiring and connector everything was alright.
We replaced the pump and everything woked fine afterwards.",null,null,null,null,Central lubrication pump contact failure.,null,null,Initiated,VOE16933334,993 Automatic lubricating system,89c04c8687ee4110eb664116cebb359e,FG9: Other,Only to be used if none of the available def codes matches,Recycling - General waste and scrap handling,"[""U102C88""]"
TS3228701,2022-12-02T09:08:39Z,L90H,1393,23255575,PUMPENAGGREGAT,"Machine reported SCR error P204A85
",P204A85 Reductant Pressure Sensor - Signal Above Allowable Range,"Maschine meldete SCR Fehler P204A85
","Pressure build-up of the AdBlue pump was not ok.
","Druckaufbau der AdBlue Pumpe war nicht ok .
",null,"AdBlue pump dismantled and renewed.
Functional test performed, o.k.
","AdBlue Pumpe demontiert und erneuert.
Funktionsprüfung durchgeführt, o.k.
","AdBlue pump dismantled and renewed.
Functional test performed, o.k.
","AdBlue Pumpe demontiert und erneuert.
Funktionsprüfung durchgeführt, o.k.
","Bucket
TAJUN0236",Closed,VOE23255575,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P204A85""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,P206A64 Reductant Quality - Signal Plausibility Failure,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A64""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,U116F00 Lost Communication with Reductant Control Module on Engine Subnet - No Sub Type Information,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U116F00""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,P206A64 Reductant Quality - Signal Plausibility Failure,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A64""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,P206A64 Reductant Quality - Signal Plausibility Failure,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A64""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,U116F00 Lost Communication with Reductant Control Module on Engine Subnet - No Sub Type Information,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U116F00""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,P206A64 Reductant Quality - Signal Plausibility Failure,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A64""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,U116F00 Lost Communication with Reductant Control Module on Engine Subnet - No Sub Type Information,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U116F00""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,U116F00 Lost Communication with Reductant Control Module on Engine Subnet - No Sub Type Information,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U116F00""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,U116F00 Lost Communication with Reductant Control Module on Engine Subnet - No Sub Type Information,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U116F00""]"
TS3018002,2018-12-04T14:39:09Z,L70H,3654,17483620,null,Error codes U116F00 and P206A64 are acitve and enging derates.,P206A64 Reductant Quality - Signal Plausibility Failure,null,"Because the Adblue tank unit was replaced in Februari this year we didn't suspect this part. So we checked EGR, wiring and ACM, ECNM first but could find anything wrong.",null,null,null,null,Adblue tank unit failure.,null,null,Accept/Reject,VOE17483620,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A64""]"
